image_name,xmin,xmax,ymin,ymax,class_id
35_6_7_blue_6_aug_976.png,277,285,8,19,33
35_6_7_blue_6_aug_976.png,317,368,205,255,34
26_0_31_6_CalendarCom_6_aug_3415.png,305,312,3,14,33
26_0_31_6_CalendarCom_6_aug_3415.png,230,269,98,137,35
18_1_30_6_CalendarCom_6_aug_1665.png,305,312,3,14,33
18_1_30_6_CalendarCom_6_aug_1665.png,230,269,98,137,35
22_19_13_blue_5_aug_460.png,277,285,8,19,33
22_19_13_blue_5_aug_460.png,73,124,96,146,34
18_0_29_6_CalendarCom_5_aug_1594.png,305,312,3,14,33
18_0_29_6_CalendarCom_5_aug_1594.png,276,315,227,266,35
11_2_24_pink_5_aug_24.png,277,285,8,19,33
11_2_24_pink_5_aug_24.png,12,63,259,309,34
13_0_28_1_CalendarCom_5_aug_450.png,305,312,3,14,33
13_0_28_1_CalendarCom_5_aug_450.png,137,176,185,224,35
17_1_28_1_Calendly_5_aug_701.png,313,357,226,270,34
17_1_28_1_Calendly_5_aug_701.png,1,45,278,322,34
17_1_28_1_Calendly_5_aug_701.png,337,346,1,14,33
17_1_28_1_Calendly_5_aug_701.png,105,149,69,113,34
17_1_28_1_Calendly_5_aug_701.png,261,305,69,113,34
17_1_28_1_Calendly_5_aug_701.png,52,96,121,165,34
17_1_28_1_Calendly_5_aug_701.png,105,149,121,165,34
17_1_28_1_Calendly_5_aug_701.png,157,201,121,165,34
17_1_28_1_Calendly_5_aug_701.png,261,305,121,165,34
17_1_28_1_Calendly_5_aug_701.png,313,357,121,165,34
17_1_28_1_Calendly_5_aug_701.png,157,201,173,217,34
17_1_28_1_Calendly_5_aug_701.png,208,252,173,217,34
17_1_28_1_Calendly_5_aug_701.png,261,305,173,217,34
17_1_28_1_Calendly_5_aug_701.png,313,357,173,217,34
17_1_28_1_Calendly_5_aug_701.png,1,45,226,270,34
17_1_28_1_Calendly_5_aug_701.png,52,96,226,270,34
17_1_28_1_Calendly_5_aug_701.png,105,149,226,270,34
17_1_28_1_Calendly_5_aug_701.png,157,201,226,270,34
17_1_28_1_Calendly_5_aug_701.png,208,252,226,270,34
17_1_28_1_Calendly_5_aug_701.png,261,305,226,270,34
13_2_31_5_CalendarCom_5_aug_612.png,305,312,3,14,33
13_2_31_5_CalendarCom_5_aug_612.png,183,222,227,266,35
12_0_30_5_CalendarCom_5_aug_262.png,305,312,3,14,33
12_0_30_5_CalendarCom_5_aug_262.png,92,130,98,137,35
14_3_29_0_CalendarCom_5_aug_854.png,305,312,3,14,33
14_3_29_0_CalendarCom_5_aug_854.png,1,39,185,224,35
26_2_28_2_Calendly_5_aug_1738.png,1,45,278,322,34
26_2_28_2_Calendly_5_aug_1738.png,52,96,278,322,34
26_2_28_2_Calendly_5_aug_1738.png,337,346,1,14,33
26_2_28_2_Calendly_5_aug_1738.png,105,149,69,113,34
26_2_28_2_Calendly_5_aug_1738.png,208,252,69,113,34
26_2_28_2_Calendly_5_aug_1738.png,261,305,69,113,34
26_2_28_2_Calendly_5_aug_1738.png,313,357,69,113,34
26_2_28_2_Calendly_5_aug_1738.png,1,45,121,165,34
26_2_28_2_Calendly_5_aug_1738.png,52,96,121,165,34
26_2_28_2_Calendly_5_aug_1738.png,105,149,121,165,34
26_2_28_2_Calendly_5_aug_1738.png,157,201,121,165,34
26_2_28_2_Calendly_5_aug_1738.png,208,252,121,165,34
26_2_28_2_Calendly_5_aug_1738.png,313,357,121,165,34
26_2_28_2_Calendly_5_aug_1738.png,105,149,173,217,34
26_2_28_2_Calendly_5_aug_1738.png,157,201,173,217,34
26_2_28_2_Calendly_5_aug_1738.png,208,252,173,217,34
26_2_28_2_Calendly_5_aug_1738.png,261,305,173,217,34
26_2_28_2_Calendly_5_aug_1738.png,1,45,226,270,34
26_2_28_2_Calendly_5_aug_1738.png,52,96,226,270,34
26_2_28_2_Calendly_5_aug_1738.png,157,201,226,270,34
26_2_28_2_Calendly_5_aug_1738.png,208,252,226,270,34
26_2_28_2_Calendly_5_aug_1738.png,261,305,226,270,34
26_2_28_2_Calendly_5_aug_1738.png,313,357,226,270,34
26_3_28_4_CalendarCom_6_aug_3537.png,305,312,3,14,33
26_3_28_4_CalendarCom_6_aug_3537.png,276,315,185,224,35
37_1_5_blue_6_aug_1011.png,277,285,8,19,33
37_1_5_blue_6_aug_1011.png,256,307,367,416,34
34_3_1_yellow_5_aug_946.png,277,285,8,19,33
34_3_1_yellow_5_aug_946.png,256,307,150,200,34
19_12_16_orange_5_aug_326.png,277,285,8,19,33
19_12_16_orange_5_aug_326.png,378,428,205,255,34
14_2_21_yellow_5_aug_144.png,277,285,8,19,33
14_2_21_yellow_5_aug_144.png,317,368,96,146,34
20_6_15_pink_5_aug_392.png,277,285,8,19,33
20_6_15_pink_5_aug_392.png,195,246,150,200,34
29_2_30_4_Calendly_5_aug_2090.png,208,252,278,322,34
29_2_30_4_Calendly_5_aug_2090.png,261,305,278,322,34
29_2_30_4_Calendly_5_aug_2090.png,337,346,1,14,33
29_2_30_4_Calendly_5_aug_2090.png,208,252,69,113,34
29_2_30_4_Calendly_5_aug_2090.png,261,305,69,113,34
